model,seed,split,task,mae,rmse
magn_prior_residual,1,val,PF,0.056507787584769924,0.08136561749467991
magn_prior_residual,1,val,MA,0.011301557732796261,0.016273123823979687
magn_prior_residual,1,val,GAP,0.0712145412727539,0.09383643731976904
magn_prior_residual,1,test,PF,0.05250677444293338,0.07555093979752832
magn_prior_residual,1,test,MA,0.010501355089403105,0.015110188242960515
magn_prior_residual,1,test,GAP,0.06236081562389088,0.08233172126711323
magn_prior_residual,2,val,PF,0.05658898424418246,0.08136303502850853
magn_prior_residual,2,val,MA,0.011317797044919971,0.01627260726918726
magn_prior_residual,2,val,GAP,0.07040859051964811,0.09314887176950903
magn_prior_residual,2,test,PF,0.052543306390697,0.0755718831382038
magn_prior_residual,2,test,MA,0.010508661453416808,0.01511437687045681
magn_prior_residual,2,test,GAP,0.06192077311166262,0.08191615827054852
magn_prior_residual,3,val,PF,0.056496661603119974,0.08162784922943213
magn_prior_residual,3,val,MA,0.011299332515186184,0.016325570142792806
magn_prior_residual,3,val,GAP,0.07018506082940257,0.09301498207835358
magn_prior_residual,3,test,PF,0.05229923495171739,0.07545764995881159
magn_prior_residual,3,test,MA,0.010459847175581549,0.015091530261929338
magn_prior_residual,3,test,GAP,0.06078878598535002,0.08079562158297617
magn_prior_residual,4,val,PF,0.056302099798098616,0.08149904416875026
magn_prior_residual,4,val,MA,0.011260420140223304,0.016299809074861542
magn_prior_residual,4,val,GAP,0.07037817073242912,0.09310430765978388
magn_prior_residual,4,test,PF,0.051812508957997216,0.07524377042138963
magn_prior_residual,4,test,MA,0.010362501961701466,0.015048754342605514
magn_prior_residual,4,test,GAP,0.06135163118925977,0.08139489220574526
magn_prior_residual,5,val,PF,0.05630987881341837,0.08155832502655831
magn_prior_residual,5,val,MA,0.01126197596218556,0.016311665298050816
magn_prior_residual,5,val,GAP,0.06930360688517491,0.09226992263758618
magn_prior_residual,5,test,PF,0.05178930696855052,0.0752225632129876
magn_prior_residual,5,test,MA,0.010357861564251562,0.015044512877442196
magn_prior_residual,5,test,GAP,0.060584289882605696,0.08069029891598302
