model,seed,split,task,mae,rmse
magn_prior_residual,1,val,PF,0.05641883227394008,0.0814286326286102
magn_prior_residual,1,val,MA,0.011283766608615279,0.016285726729615542
magn_prior_residual,1,val,GAP,0.06944250192269276,0.09241204949701144
magn_prior_residual,1,test,PF,0.05379988522516132,0.0762691561298882
magn_prior_residual,1,test,MA,0.010759977207865729,0.01525383151087421
magn_prior_residual,1,test,GAP,0.055325956320611096,0.07598189139174244
magn_prior_residual,2,val,PF,0.0563993314830739,0.081981927873675
magn_prior_residual,2,val,MA,0.01127986645975134,0.016396385764230567
magn_prior_residual,2,val,GAP,0.07077181471990106,0.09352265140366214
magn_prior_residual,2,test,PF,0.05178941686106267,0.07526117568578812
magn_prior_residual,2,test,MA,0.010357883580739925,0.015052235485413073
magn_prior_residual,2,test,GAP,0.05911883430418658,0.0793260631274047
magn_prior_residual,3,val,PF,0.05642645311455339,0.08157374542543182
magn_prior_residual,3,val,MA,0.011285290786272753,0.016314749297475586
magn_prior_residual,3,val,GAP,0.06874714794790097,0.09178958161592056
magn_prior_residual,3,test,PF,0.05220620524793295,0.07533790160406037
magn_prior_residual,3,test,MA,0.01044124122721368,0.015067580588366093
magn_prior_residual,3,test,GAP,0.0605693656652587,0.08065039304973348
magn_prior_residual,4,val,PF,0.056424562308346964,0.08173610411117303
magn_prior_residual,4,val,MA,0.011284912644822342,0.01634722108181608
magn_prior_residual,4,val,GAP,0.07067511604355821,0.09339456363590103
magn_prior_residual,4,test,PF,0.05165458749243095,0.07513057086691703
magn_prior_residual,4,test,MA,0.010330917670484073,0.015026114426746114
magn_prior_residual,4,test,GAP,0.0616753589561851,0.08169388520714557
magn_prior_residual,5,val,PF,0.0586965113980034,0.08389881552224791
magn_prior_residual,5,val,MA,0.011739302483702821,0.01677976332754948
magn_prior_residual,5,val,GAP,0.06834795274797197,0.09149757948267466
magn_prior_residual,5,test,PF,0.053737616437450474,0.07627153855826121
magn_prior_residual,5,test,MA,0.010747523487862568,0.015254307970314927
magn_prior_residual,5,test,GAP,0.056721345134247834,0.07715353198774878
