model,seed,split,task,mae,rmse
magn_prior_residual,1,val,PF,0.05652679550547987,0.08182515071311608
magn_prior_residual,1,val,MA,0.011305359256562912,0.016365030345606678
magn_prior_residual,1,val,GAP,0.0725312128897166,0.09493976715569358
magn_prior_residual,1,test,PF,0.05173599278280711,0.07512742665989126
magn_prior_residual,1,test,MA,0.010347198719625087,0.015025485573001146
magn_prior_residual,1,test,GAP,0.0637207229900579,0.08360951629689331
magn_prior_residual,2,val,PF,0.05706669412390456,0.08230474600024008
magn_prior_residual,2,val,MA,0.011413339001496827,0.016460949433090736
magn_prior_residual,2,val,GAP,0.06766259404398053,0.09091207455953002
magn_prior_residual,2,test,PF,0.05252192742848969,0.07541354724369674
magn_prior_residual,2,test,MA,0.010504385660695817,0.015082709718652235
magn_prior_residual,2,test,GAP,0.0593813147290615,0.07957576794988114
magn_prior_residual,3,val,PF,0.056279377003271604,0.08140054028699781
magn_prior_residual,3,val,MA,0.011255875571103765,0.01628010830037741
magn_prior_residual,3,val,GAP,0.06720324460266901,0.09051385559783134
magn_prior_residual,3,test,PF,0.05188200348622487,0.07535361407141955
magn_prior_residual,3,test,MA,0.010376400879014574,0.01507072309640947
magn_prior_residual,3,test,GAP,0.05923300845519571,0.07944452809015809
magn_prior_residual,4,val,PF,0.05675560815229279,0.08133491983442673
magn_prior_residual,4,val,MA,0.011351121810396568,0.016266984188233767
magn_prior_residual,4,val,GAP,0.06977817766124107,0.09265768276090668
magn_prior_residual,4,test,PF,0.052954812210032155,0.0758048848763487
magn_prior_residual,4,test,MA,0.010590962631187906,0.01516097725593458
magn_prior_residual,4,test,GAP,0.06109596520325558,0.0811514147857007
magn_prior_residual,5,val,PF,0.05645000764977981,0.08172457643346669
magn_prior_residual,5,val,MA,0.011290001709985419,0.016344915541239766
magn_prior_residual,5,val,GAP,0.07123311662313635,0.09387572713063982
magn_prior_residual,5,test,PF,0.05165096536741755,0.07512783389184276
magn_prior_residual,5,test,MA,0.010330193256420817,0.015025567043445157
magn_prior_residual,5,test,GAP,0.062186483466355816,0.08218114475159173
