model,seed,split,task,mae,rmse
magn_prior_residual,1,val,PF,0.05716502079791059,0.08143014380151212
magn_prior_residual,1,val,MA,0.011433004334096955,0.016286028971610956
magn_prior_residual,1,val,GAP,0.07175516619861044,0.09428547368682537
magn_prior_residual,1,test,PF,0.053590595484369216,0.07618492341016571
magn_prior_residual,1,test,MA,0.010718119280816629,0.015236984962613009
magn_prior_residual,1,test,GAP,0.0630236297819532,0.0829498347431241
magn_prior_residual,2,val,PF,0.05639868018527826,0.08141434380926015
magn_prior_residual,2,val,MA,0.011279736205113574,0.016282868972142584
magn_prior_residual,2,val,GAP,0.06529909505361253,0.08897980475880755
magn_prior_residual,2,test,PF,0.05233816553833289,0.07549097235072609
magn_prior_residual,2,test,MA,0.010467633275266824,0.015098194705198971
magn_prior_residual,2,test,GAP,0.057111574369509005,0.07750923711343388
magn_prior_residual,3,val,PF,0.05658097450565445,0.0818984983262679
magn_prior_residual,3,val,MA,0.011316195082251342,0.01637969997805004
magn_prior_residual,3,val,GAP,0.07121183099441454,0.09381266030030219
magn_prior_residual,3,test,PF,0.05179920668521696,0.07518638828547843
magn_prior_residual,3,test,MA,0.01035984150907005,0.015037277918328307
magn_prior_residual,3,test,GAP,0.06264098829005735,0.08260382092292776
magn_prior_residual,4,val,PF,0.05637717303702903,0.0814351530570365
magn_prior_residual,4,val,MA,0.011275434789195805,0.0162870308803582
magn_prior_residual,4,val,GAP,0.07249724719001621,0.09489526203690013
magn_prior_residual,4,test,PF,0.051942742658031865,0.07529448694013793
magn_prior_residual,4,test,MA,0.01038854872374756,0.015058897670534322
magn_prior_residual,4,test,GAP,0.0637440543358693,0.08364013562751287
magn_prior_residual,5,val,PF,0.056357345165165725,0.08146545285581452
magn_prior_residual,5,val,MA,0.01127146921221016,0.01629309082415982
magn_prior_residual,5,val,GAP,0.07043390957628443,0.09319517340614107
magn_prior_residual,5,test,PF,0.051830140956398624,0.07525145467167516
magn_prior_residual,5,test,MA,0.010366028373054522,0.015050291220714346
magn_prior_residual,5,test,GAP,0.06173972494816039,0.08175092981738909
